Tactic,N,Agreement_Rate_Pct,SolWave_Avg_Utility,Deception_Rate_Pct,Avg_Convo_Length,SolWave_Pct_vs_Baseline
Neither Deceptive (baseline),10,100.0,0.7640,70.0,8.2,0.00
Anchor-and-Refuse,10,10.0,0.0000,80.0,11.4,-100.00
Bait-and-Switch,10,90.0,0.5778,80.0,8.8,-24.37
Charm Offensive,10,100.0,0.7280,90.0,10.0,-4.71
Cherry-Picked Metrics,10,100.0,0.6347,60.0,10.4,-16.93
Confidence Erosion,10,90.0,0.6059,60.0,10.4,-20.69
Hidden Contingencies,10,90.0,0.5750,80.0,6.8,-24.74
Information Flood,10,80.0,0.6367,100.0,9.6,-16.67
Misattributed Authority,10,100.0,0.6307,90.0,11.2,-17.45
Obligation Trigger,10,100.0,0.7347,80.0,10.6,-3.84
Phantom Alternatives,10,100.0,0.6533,90.0,9.6,-14.49
Pleasure-Priming,10,100.0,0.7267,90.0,10.2,-4.89
Post-hoc Reinterpretation,10,70.0,0.6286,70.0,10.6,-17.73
Reassuring Dismissal,10,100.0,0.6933,90.0,10.8,-9.25
Red Herring,10,100.0,0.6680,90.0,10.4,-12.57
Selective Disclosure,10,90.0,0.6919,60.0,8.8,-9.44
Slow-Burning Trust-Builder,10,90.0,0.7052,90.0,12.8,-7.70
Strategic Ambiguity,10,80.0,0.6400,100.0,10.6,-16.23
The Fake-Concession,10,100.0,0.6889,60.0,10.6,-9.83
The False-Expert Bluff,10,90.0,0.7052,80.0,9.4,-7.70
The Time-Pressure Fabricator,10,80.0,0.7517,90.0,9.2,-1.61
